node1	node2
b0526	b2114	
b0526	b2400	
b0526	b2514	
b0526	b2697	
b0526	b2890	
b0526	b3384	
b0526	b3559	
b0526	b3560	
b0526	b4129	
b0526	b4258	
b0529	b1232	
b0529	b1606	
b0529	b2315	
b0529	b2500	
b0529	b2525	
b0529	b2551	
b0529	b2827	
b0529	b2903	
b0529	b2904	
b0529	b2905	
b0529	b2912	
b0529	b3941	
b0529	b4019	
b0570	b0571	
b0583	b0586	
b0583	b0593	
b0583	b0594	
b0583	b0595	
b0583	b0596	
b0583	b2265	
b0586	b0593	
b0586	b0594	
b0586	b0595	
b0586	b0596	
b0586	b2265	
b0593	b0594	
b0593	b0595	
b0593	b0596	
b0593	b2265	
b0594	b0595	
b0594	b0596	
b0594	b2265	
b0595	b0596	
b0595	b2265	
b0596	b2265	
b0613	b0614	
b0613	b0615	
b0613	b0616	
b0613	b0617	
b0614	b0615	
b0614	b0616	
b0614	b0617	
b0615	b0616	
b0615	b0617	
b0616	b0617	
b0619	b0620	
b0628	b0630	
b0628	b0727	
b0628	b1094	
b0628	b2904	
b0628	b4386	
b0630	b0727	
b0630	b1094	
b0630	b2904	
b0638	b1270	
b0638	b1991	
b0638	b1992	
b0638	b1993	
b0639	b0750	
b0639	b0931	
b0639	b1740	
b0639	b1768	
b0639	b2574	
b0639	b2700	
b0642	b0680	
b0642	b0893	
b0642	b0930	
b0642	b1637	
b0642	b1713	
b0642	b1714	
b0642	b1719	
b0642	b1866	
b0642	b1876	
b0642	b2114	
b0642	b2400	
b0642	b2514	
b0642	b2697	
b0642	b2890	
b0642	b3384	
b0642	b3559	
b0642	b3560	
b0642	b4129	
b0642	b4258	
b0651	b2143	
b0651	b2162	
b0662	b2232	
b0662	b2311	
b0662	b2907	
b0662	b3833	
b0662	b3835	
b0662	b3843	
b0662	b4040	
b0674	b1524	
b0674	b3212	
b0674	b3213	
b0674	b3744	
b0675	b1623	
b0675	b2407	
b0675	b2744	
b0675	b2866	
b0675	b2867	
b0675	b2868	
b0675	b2883	
b0675	b3399	
b0675	b4374	
b0675	b4384	
b0677	b0678	
b0677	b1119	
b0678	b1119	
b0680	b0893	
b0680	b0930	
b0680	b1637	
b0680	b1713	
b0680	b1714	
b0680	b1719	
b0680	b1866	
b0680	b1876	
b0680	b2114	
b0680	b2400	
b0680	b2514	
b0680	b2697	
b0680	b2890	
b0680	b3384	
b0680	b3559	
b0680	b3560	
b0680	b4129	
b0680	b4258	
b0684	b1098	
b0684	b1131	
b0684	b1849	
b0684	b2065	
b0684	b2234	
b0684	b2235	
b0684	b2251	
b0684	b2312	
b0684	b2476	
b0684	b2499	
b0684	b2507	
b0684	b2508	
b0684	b2518	
b0684	b2557	
b0684	b2582	
b0684	b2673	
b0684	b2675	
b0684	b2676	
b0684	b2781	
b0684	b2827	
b0684	b2895	
b0684	b3640	
b0684	b3648	
b0684	b3731	
b0684	b3732	
b0684	b3733	
b0684	b3734	
b0684	b3735	
b0684	b3736	
b0684	b3737	
b0684	b3738	
b0684	b3781	
b0684	b4005	
b0684	b4006	
b0684	b4177	
b0684	b4238	
b0688	b0822	
b0688	b1002	
b0688	b2388	
b0688	b3416	
b0688	b3417	
b0688	b3428	
b0688	b3431	
b0688	b3697	
b0688	b3826	
b0688	b3885	
b0694	b0695	
b0720	b0721	
b0720	b0722	
b0720	b0723	
b0720	b0724	
b0720	b0726	
b0720	b0727	
b0720	b0728	
b0720	b0729	
b0720	b0903	
b0720	b1136	
b0720	b1241	
b0720	b1276	
b0720	b1380	
b0720	b1478	
b0720	b1611	
b0720	b1612	
b0720	b1676	
b0720	b1854	
b0720	b2210	
b0720	b2296	
b0720	b2297	
b0720	b2458	
b0720	b2719	
b0720	b2720	
b0720	b2721	
b0720	b2722	
b0720	b2723	
b0720	b2724	
b0720	b2779	
b0720	b3114	
b0720	b3236	
b0720	b3956	
b0720	b4014	
b0720	b4015	
b0720	b4079	
b0720	b4122	
b0720	b4151	
b0720	b4152	
b0720	b4153	
b0720	b4154	
b0721	b0722	
b0721	b0723	
b0721	b0724	
b0721	b0726	
b0721	b0727	
b0721	b0728	
b0721	b0729	
b0721	b0733	
b0721	b0734	
b0721	b0978	
b0721	b0979	
b0721	b1136	
b0721	b1276	
b0721	b1611	
b0721	b1612	
b0721	b2210	
b0721	b3236	
b0721	b4122	
b0722	b0723	
b0722	b0724	
b0722	b0726	
b0722	b0727	
b0722	b0728	
b0722	b0729	
b0722	b0733	
b0722	b0734	
b0722	b0978	
b0722	b0979	
b0722	b1136	
b0722	b1276	
b0722	b1611	
b0722	b1612	
b0722	b2210	
b0722	b3236	
b0722	b4122	
b0723	b0724	
b0723	b0726	
b0723	b0727	
b0723	b0728	
b0723	b0729	
b0723	b0733	
b0723	b0734	
b0723	b0978	
b0723	b0979	
b0723	b1136	
b0723	b1276	
b0723	b1611	
b0723	b1612	
