"node1","node2","Uni_N1","Uni_N2"
"eco:b0233","eco:b0305","Q47157","P77379"
"eco:b0234","eco:b0305","Q47158","P77379"
"eco:b0251","eco:b0305","P77365","P77379"
"eco:b0132","eco:b0305","P31665","P77379"
"eco:b0293","eco:b0305","P0AAA3","P77379"
"eco:b0044","eco:b0305","P68646","P77379"
"eco:b0042","eco:b0305","P31574","P77379"
"eco:b0303","eco:b0305","P75687","P77379"
"eco:b0069","eco:b0305","P33595","P77379"
"eco:b0301","eco:b0305","P75685","P77379"
"eco:b0248","eco:b0306","P75676","P77252"
"eco:b0035","eco:b0306","P39206","P77252"
"eco:b0035","eco:b0307","P39206","P77536"
"eco:b0306","eco:b0307","P77252","P77536"
"eco:b0307","eco:b0308","P77536","P77433"
"eco:b0069","eco:b0311","P33595","P17444"
"eco:b0118","eco:b0311","P36683","P17444"
"eco:b0311","eco:b0312","P17444","P17445"
"eco:b0033","eco:b0312","P00968","P17445"
"eco:b0273","eco:b0312","P06960","P17445"
"eco:b0312","eco:b0313","P17445","P17446"
"eco:b0311","eco:b0313","P17444","P17446"
"eco:b0033","eco:b0313","P00968","P17446"
"eco:b0228","eco:b0314","Q47152","P0ABC9"
"eco:b0221","eco:b0314","Q47146","P0ABC9"
"eco:b0313","eco:b0314","P17446","P0ABC9"
"eco:b0311","eco:b0314","P17444","P0ABC9"
"eco:b0211","eco:b0315","P0AEZ7","P21514"
"eco:b0278","eco:b0315","P77607","P21514"
"eco:b0233","eco:b0315","Q47157","P21514"
"eco:b0232","eco:b0315","Q47156","P21514"
"eco:b0122","eco:b0315","P0AA95","P21514"
"eco:b0286","eco:b0316","P77165","P77700"
"eco:b0301","eco:b0316","P75685","P77700"
"eco:b0293","eco:b0316","P0AAA3","P77700"
"eco:b0285","eco:b0316","P77324","P77700"
"eco:b0283","eco:b0316","P77183","P77700"
"eco:b0040","eco:b0317","P31553","P77219"
"eco:b0285","eco:b0317","P77324","P77219"
"eco:b0045","eco:b0317","P31679","P77219"
"eco:b0285","eco:b0318","P77324","P77736"
"eco:b0318","eco:b0319","P77736","P77297"
"eco:b0234","eco:b0319","Q47158","P77297"
"eco:b0305","eco:b0319","P77379","P77297"
"eco:b0040","eco:b0319","P31553","P77297"
"eco:b0044","eco:b0320","P68646","P77187"
"eco:b0319","eco:b0320","P77297","P77187"
"eco:b0284","eco:b0321","P77489","P77221"
"eco:b0290","eco:b0321","P77694","P77221"
"eco:b0291","eco:b0321","P77802","P77221"
"eco:b0307","eco:b0321","P77536","P77221"
"eco:b0319","eco:b0321","P77297","P77221"
"eco:b0039","eco:b0321","P60584","P77221"
"eco:b0241","eco:b0323","P02932","P77624"
"eco:b0284","eco:b0324","P77489","P77554"
"eco:b0291","eco:b0324","P77802","P77554"
"eco:b0323","eco:b0324","P77624","P77554"
"eco:b0321","eco:b0324","P77221","P77554"
"eco:b0112","eco:b0325","P15993","P75691"
"eco:b0186","eco:b0325","P52095","P75691"
"eco:b0004","eco:b0325","P00934","P75691"
"eco:b0187","eco:b0325","P52096","P75691"
"eco:b0293","eco:b0326","P0AAA3","P77393"
"eco:b0316","eco:b0326","P77700","P77393"
"eco:b0084","eco:b0326","P0AD68","P77393"
"eco:b0285","eco:b0326","P77324","P77393"
"eco:b0301","eco:b0326","P75685","P77393"
"eco:b0296","eco:b0326","P0A7N1","P77393"
"eco:b0261","eco:b0326","Q47690","P77393"
"eco:b0061","eco:b0326","P08203","P77393"
"eco:b0285","eco:b0328","P77324","P75693"
"eco:b0227","eco:b0328","Q47151","P75693"
"eco:b0293","eco:b0328","P0AAA3","P75693"
"eco:b0301","eco:b0328","P75685","P75693"
"eco:b0042","eco:b0328","P31574","P75693"
"eco:b0292","eco:b0328","P77188","P75693"
"eco:b0286","eco:b0328","P77165","P75693"
"eco:b0113","eco:b0328","P0ACL9","P75693"
"eco:b0316","eco:b0328","P77700","P75693"
"eco:b0186","eco:b0329","P52095","P75694"
"eco:b0325","eco:b0329","P75691","P75694"
"eco:b0304","eco:b0329","P77212","P75694"
"eco:b0045","eco:b0329","P31679","P75694"
"eco:b0146","eco:b0329","P0A823","P75694"
"eco:b0076","eco:b0331","P10151","P77541"
"eco:b0069","eco:b0331","P33595","P77541"
"eco:b0210","eco:b0331","P30866","P77541"
"eco:b0063","eco:b0331","P08204","P77541"
"eco:b0141","eco:b0331","P37050","P77541"
"eco:b0245","eco:b0331","P77692","P77541"
"eco:b0310","eco:b0331","P77180","P77541"
"eco:b0252","eco:b0331","P77206","P77541"
"eco:b0107","eco:b0333","P36645","P31660"
"eco:b0331","eco:b0333","P77541","P31660"
"eco:b0324","eco:b0334","P77554","P77243"
"eco:b0316","eco:b0334","P77700","P77243"
"eco:b0291","eco:b0334","P77802","P77243"
"eco:b0284","eco:b0334","P77489","P77243"
"eco:b0283","eco:b0334","P77183","P77243"
"eco:b0331","eco:b0334","P77541","P77243"
"eco:b0252","eco:b0334","P77206","P77243"
"eco:b0108","eco:b0334","P36647","P77243"
"eco:b0328","eco:b0334","P75693","P77243"
"eco:b0040","eco:b0334","P31553","P77243"
"eco:b0285","eco:b0334","P77324","P77243"
"eco:b0333","eco:b0334","P31660","P77243"
"eco:b0286","eco:b0334","P77165","P77243"
"eco:b0045","eco:b0334","P31679","P77243"
"eco:b0045","eco:b0335","P31679","P77495"
"eco:b0042","eco:b0335","P31574","P77495"
"eco:b0334","eco:b0335","P77243","P77495"
"eco:b0006","eco:b0335","P0A8I3","P77495"
"eco:b0331","eco:b0335","P77541","P77495"
"eco:b0333","eco:b0335","P31660","P77495"
"eco:b0118","eco:b0336","P36683","P0AA82"
"eco:b0273","eco:b0336","P06960","P0AA82"
"eco:b0121","eco:b0336","P09158","P0AA82"
"eco:b0033","eco:b0336","P00968","P0AA82"
