"node1","node2","Uni_N1","Uni_N2"
"eco:b0172","eco:b0194","P0A805","P16659"
"eco:b0048","eco:b0194","P0ABQ4","P16659"
"eco:b0149","eco:b0194","P02919","P16659"
"eco:b0023","eco:b0194","P0A7U7","P16659"
"eco:b0170","eco:b0194","P0A6P1","P16659"
"eco:b0169","eco:b0194","P0A7V0","P16659"
"eco:b0052","eco:b0194","P19624","P16659"
"eco:b0192","eco:b0196","P40710","P69411"
"eco:b0055","eco:b0196","P31680","P69411"
"eco:b0197","eco:b0198","P28635","P31547"
"eco:b0198","eco:b0199","P31547","P30750"
"eco:b0197","eco:b0199","P28635","P30750"
"eco:b0183","eco:b0214","P10442","P0A7Y4"
"eco:b0200","eco:b0222","P63228","P63224"
"eco:b0225","eco:b0226","Q47149","Q47150"
"eco:b0225","eco:b0232","Q47149","Q47156"
"eco:b0226","eco:b0232","Q47150","Q47156"
"eco:b0226","eco:b0233","Q47150","Q47157"
"eco:b0225","eco:b0233","Q47149","Q47157"
"eco:b0232","eco:b0233","Q47156","Q47157"
"eco:b0233","eco:b0234","Q47157","Q47158"
"eco:b0232","eco:b0234","Q47156","Q47158"
"eco:b0149","eco:b0237","P02919","P15288"
"eco:b0071","eco:b0237","P30126","P15288"
"eco:b0048","eco:b0237","P0ABQ4","P15288"
"eco:b0110","eco:b0237","P13016","P15288"
"eco:b0171","eco:b0237","P0A7E9","P15288"
"eco:b0104","eco:b0237","P60560","P15288"
"eco:b0031","eco:b0237","P04036","P15288"
"eco:b0245","eco:b0246","P77692","Q47684"
"eco:b0260","eco:b0261","Q47689","Q47690"
"eco:b0268","eco:b0269","P75682","P77596"
"eco:b0292","eco:b0293","P77188","P0AAA3"
"eco:b0303","eco:b0304","P75687","P77212"
"eco:b0304","eco:b0305","P77212","P77379"
"eco:b0305","eco:b0306","P77379","P77252"
"eco:b0120","eco:b0312","P0A7F6","P17445"
"eco:b0023","eco:b0312","P0A7U7","P17445"
"eco:b0312","eco:b0313","P17445","P17446"
"eco:b0040","eco:b0314","P31553","P0ABC9"
"eco:b0313","eco:b0314","P17446","P0ABC9"
"eco:b0175","eco:b0314","P0ABG1","P0ABC9"
"eco:b0023","eco:b0314","P0A7U7","P0ABC9"
"eco:b0312","eco:b0314","P17445","P0ABC9"
"eco:b0071","eco:b0314","P30126","P0ABC9"
"eco:b0047","eco:b0314","P03819","P0ABC9"
"eco:b0316","eco:b0318","P77700","P77736"
"eco:b0319","eco:b0320","P77297","P77187"
"eco:b0320","eco:b0321","P77187","P77221"
"eco:b0319","eco:b0321","P77297","P77221"
"eco:b0320","eco:b0323","P77187","P77624"
"eco:b0319","eco:b0326","P77297","P77393"
"eco:b0304","eco:b0329","P77212","P75694"
"eco:b0313","eco:b0330","P17446","P77743"
"eco:b0330","eco:b0331","P77743","P77541"
"eco:b0331","eco:b0333","P77541","P31660"
"eco:b0330","eco:b0333","P77743","P31660"
"eco:b0331","eco:b0334","P77541","P77243"
"eco:b0333","eco:b0334","P31660","P77243"
"eco:b0330","eco:b0334","P77743","P77243"
"eco:b0333","eco:b0335","P31660","P77495"
"eco:b0330","eco:b0335","P77743","P77495"
"eco:b0331","eco:b0335","P77541","P77495"
"eco:b0334","eco:b0335","P77243","P77495"
"eco:b0175","eco:b0336","P0ABG1","P0AA82"
"eco:b0313","eco:b0337","P17446","P25524"
"eco:b0336","eco:b0337","P0AA82","P25524"
"eco:b0312","eco:b0337","P17445","P25524"
"eco:b0313","eco:b0338","P17446","P27111"
"eco:b0314","eco:b0338","P0ABC9","P27111"
"eco:b0337","eco:b0338","P25524","P27111"
"eco:b0336","eco:b0338","P0AA82","P27111"
"eco:b0312","eco:b0338","P17445","P27111"
"eco:b0338","eco:b0339","P27111","P0ABE9"
"eco:b0104","eco:b0340","P60560","P00816"
"eco:b0023","eco:b0340","P0A7U7","P00816"
"eco:b0337","eco:b0340","P25524","P00816"
"eco:b0339","eco:b0340","P0ABE9","P00816"
"eco:b0338","eco:b0340","P27111","P00816"
"eco:b0340","eco:b0341","P00816","P17583"
"eco:b0338","eco:b0341","P27111","P17583"
"eco:b0339","eco:b0341","P0ABE9","P17583"
"eco:b0337","eco:b0346","P25524","P77569"
"eco:b0346","eco:b0347","P77569","P77397"
"eco:b0346","eco:b0348","P77569","P0ABR9"
"eco:b0347","eco:b0348","P77397","P0ABR9"
"eco:b0347","eco:b0349","P77397","P77044"
"eco:b0346","eco:b0349","P77569","P77044"
"eco:b0348","eco:b0349","P0ABR9","P77044"
"eco:b0349","eco:b0350","P77044","P77608"
"eco:b0346","eco:b0350","P77569","P77608"
"eco:b0348","eco:b0350","P0ABR9","P77608"
"eco:b0347","eco:b0350","P77397","P77608"
"eco:b0349","eco:b0351","P77044","P77580"
"eco:b0348","eco:b0351","P0ABR9","P77580"
"eco:b0346","eco:b0351","P77569","P77580"
"eco:b0347","eco:b0351","P77397","P77580"
"eco:b0350","eco:b0351","P77608","P77580"
"eco:b0347","eco:b0352","P77397","P51020"
"eco:b0351","eco:b0352","P77580","P51020"
"eco:b0348","eco:b0352","P0ABR9","P51020"
"eco:b0346","eco:b0352","P77569","P51020"
"eco:b0350","eco:b0352","P77608","P51020"
"eco:b0349","eco:b0352","P77044","P51020"
"eco:b0346","eco:b0353","P77569","P77589"
"eco:b0347","eco:b0353","P77397","P77589"
"eco:b0349","eco:b0353","P77044","P77589"
"eco:b0348","eco:b0353","P0ABR9","P77589"
"eco:b0355","eco:b0356","P51025","P25437"
"eco:b0356","eco:b0357","P25437","P0AAP3"
"eco:b0355","eco:b0357","P51025","P0AAP3"
"eco:b0365","eco:b0366","Q47537","Q47538"
"eco:b0365","eco:b0367","Q47537","Q47539"
"eco:b0366","eco:b0367","Q47538","Q47539"
"eco:b0366","eco:b0368","Q47538","P37610"
"eco:b0367","eco:b0368","Q47539","P37610"
"eco:b0365","eco:b0368","Q47537","P37610"
"eco:b0237","eco:b0369","P15288","P0ACB2"
"eco:b0154","eco:b0369","P23893","P0ACB2"
"eco:b0085","eco:b0369","P22188","P0ACB2"
"eco:b0048","eco:b0369","P0ABQ4","P0ACB2"
"eco:b0171","eco:b0369","P0A7E9","P0ACB2"
