"node1","node2","Uni_N1","Uni_N2"
"eco:b0436","eco:b3065","P0A850","P68679"
"eco:b2213","eco:b3067","P06134","P00579"
"eco:b0650","eco:b3067","P77319","P00579"
"eco:b0881","eco:b3073","P0A8Q6","P42588"
"eco:b1084","eco:b3162","P21513","P0A9P6"
"eco:b0143","eco:b3164","P0ABF1","P05055"
"eco:b2779","eco:b3164","P0A6P9","P05055"
"eco:b1084","eco:b3164","P21513","P05055"
"eco:b2592","eco:b3168","P63284","P0A705"
"eco:b0231","eco:b3169","Q47155","P0AFF6"
"eco:b0098","eco:b3175","P10408","P0AG99"
"eco:b0145","eco:b3181","P0ABS1","P0A6W5"
"eco:b0424","eco:b3185","Q46948","P0A7L8"
"eco:b2231","eco:b3185","P0AES4","P0A7L8"
"eco:b3199","eco:b3200","P0ADV9","P0ADV1"
"eco:b3199","eco:b3201","P0ADV9","P0A9V1"
"eco:b1303","eco:b3202","P37344","P24255"
"eco:b0695","eco:b3204","P21865","P69829"
"eco:b0089","eco:b3208","P0ABG4","P46022"
"eco:b0084","eco:b3208","P0AD68","P46022"
"eco:b1305","eco:b3210","P0AFM9","P0AEC3"
"eco:b1306","eco:b3210","P0AFN2","P0AEC3"
"eco:b1304","eco:b3210","P0AFM6","P0AEC3"
"eco:b0436","eco:b3222","P0A850","P45425"
"eco:b0436","eco:b3230","P0A850","P0A7X3"
"eco:b0436","eco:b3231","P0A850","P0AA10"
"eco:b0424","eco:b3231","Q46948","P0AA10"
"eco:b0733","eco:b3233","P0ABJ9","P0ADW3"
"eco:b0957","eco:b3234","P0A910","P39099"
