"Uni_N1","Uni_N2"
"eco:b1682","eco:SufBCD with bound [4Fe-4S] cluster"
"eco:b1681","eco:SufBCD with bound [4Fe-4S] cluster"
"eco:b1683","eco:SufBCD with two bound [2Fe-2S] clusters"
"eco:b1682","eco:SufBCD with two bound [2Fe-2S] clusters"
"eco:b1681","eco:SufBCD with two bound [2Fe-2S] clusters"
"eco:b1612","eco:L-Malate"
"eco:b4122","eco:L-Malate"
"eco:b1611","eco:L-Malate"
"eco:b1612","eco:H2O"
"eco:b4122","eco:H2O"
"eco:b1611","eco:H2O"
"eco:b1612","eco:Fumarate"
"eco:b4122","eco:Fumarate"
"eco:b1611","eco:Fumarate"
"eco:b0241","eco:L-Methionine"
"eco:b0929","eco:L-Methionine"
"eco:b1377","eco:L-Methionine"
"eco:b2215","eco:L-Methionine"
"eco:b0241","eco:L-Methionine"
"eco:b0929","eco:L-Methionine"
"eco:b1377","eco:L-Methionine"
"eco:b2215","eco:L-Methionine"
"eco:b2744","eco:Phosphate"
"eco:b0480","eco:Phosphate"
"eco:b4055","eco:Phosphate"
"eco:b2744","eco:Inosine"
"eco:b0480","eco:Inosine"
"eco:b4055","eco:Inosine"
"eco:b2744","eco:IMP"
"eco:b0480","eco:IMP"
"eco:b4055","eco:IMP"
"eco:b2744","eco:H2O"
"eco:b0480","eco:H2O"
"eco:b4055","eco:H2O"
"eco:b1131","eco:Fumarate"
"eco:b1131","eco:AMP"
"eco:b1131","eco:N6-(1,2-Dicarboxyethyl)-AMP"
"eco:b0241","eco:D-Glyceraldehyde"
"eco:b0929","eco:D-Glyceraldehyde"
"eco:b1377","eco:D-Glyceraldehyde"
"eco:b2215","eco:D-Glyceraldehyde"
"eco:b0241","eco:D-Glyceraldehyde"
"eco:b0929","eco:D-Glyceraldehyde"
"eco:b1377","eco:D-Glyceraldehyde"
"eco:b2215","eco:D-Glyceraldehyde"
"eco:L-tartrate exchange","eco:L-tartrate"
"eco:b0914","eco:ADP"
"eco:b0914","eco:H+"
"eco:b0914","eco:phosphatidylethanolamine (ditetradecanoyl, n-C14:0)"
"eco:b0914","eco:phosphatidylethanolamine (ditetradecanoyl, n-C14:0)"
"eco:b0914","eco:Phosphate"
"eco:b0914","eco:H2O"
"eco:b0914","eco:ATP"
"eco:b3469","eco:H+"
"eco:b3469","eco:ADP"
"eco:b3469","eco:H2O"
"eco:b3469","eco:Co2+"
"eco:b3469","eco:Phosphate"
"eco:b3469","eco:Co2+"
"eco:b3469","eco:ATP"
"eco:b1200","eco:Pyruvate"
"eco:b1199","eco:Pyruvate"
"eco:b1198","eco:Pyruvate"
"eco:b2415","eco:Pyruvate"
"eco:b2416","eco:Pyruvate"
"eco:b1200","eco:Dihydroxyacetone"
"eco:b1199","eco:Dihydroxyacetone"
"eco:b1198","eco:Dihydroxyacetone"
"eco:b2415","eco:Dihydroxyacetone"
"eco:b2416","eco:Dihydroxyacetone"
"eco:b1200","eco:Dihydroxyacetone phosphate"
"eco:b1199","eco:Dihydroxyacetone phosphate"
"eco:b1198","eco:Dihydroxyacetone phosphate"
"eco:b2415","eco:Dihydroxyacetone phosphate"
"eco:b2416","eco:Dihydroxyacetone phosphate"
"eco:b1200","eco:Phosphoenolpyruvate"
"eco:b1199","eco:Phosphoenolpyruvate"
"eco:b1198","eco:Phosphoenolpyruvate"
"eco:b2415","eco:Phosphoenolpyruvate"
"eco:b2416","eco:Phosphoenolpyruvate"
"eco:b0494","eco:H2O"
"eco:b0494","eco:1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)"
"eco:b0494","eco:tetradecanoate (n-C14:0)"
"eco:b0494","eco:H+"
"eco:b0494","eco:sn-Glycero-3-phosphoethanolamine"
"eco:ferroxamine exchange","eco:ferroxamine"
"eco:b2323","eco:acyl carrier protein"
"eco:b1095","eco:acyl carrier protein"
"eco:b2323","eco:3-Oxohexadecanoyl-[acyl-carrier protein]"
"eco:b1095","eco:3-Oxohexadecanoyl-[acyl-carrier protein]"
"eco:b2323","eco:Myristoyl-ACP (n-C14:0ACP)"
"eco:b1095","eco:Myristoyl-ACP (n-C14:0ACP)"
"eco:b2323","eco:CO2"
"eco:b1095","eco:CO2"
"eco:b2323","eco:Malonyl-[acyl-carrier protein]"
"eco:b1095","eco:Malonyl-[acyl-carrier protein]"
"eco:b2323","eco:H+"
"eco:b1095","eco:H+"
