"node1"	"node2"	"genename_N1"
"b2278"	"q8h2"	"NADH16"
"b2279"	"q8h2"	"NADH16"
"b2280"	"q8h2"	"NADH16"
"b2281"	"q8h2"	"NADH16"
"b2282"	"q8h2"	"NADH16"
"b2283"	"q8h2"	"NADH16"
"b2284"	"q8h2"	"NADH16"
"b2285"	"q8h2"	"NADH16"
"b2286"	"q8h2"	"NADH16"
"b2287"	"q8h2"	"NADH16"
"b2288"	"q8h2"	"NADH16"
"b1602"	"nad"	"NADTRHD"
"b1603"	"nad"	"NADTRHD"
"b3962"	"nad"	"NADTRHD"
"b1602"	"nadh"	"NADTRHD"
"b1603"	"nadh"	"NADTRHD"
"b3962"	"nadh"	"NADTRHD"
"b1602"	"nadp"	"NADTRHD"
"b1603"	"nadp"	"NADTRHD"
"b3962"	"nadp"	"NADTRHD"
"b1602"	"nadph"	"NADTRHD"
"b1603"	"nadph"	"NADTRHD"
"b3962"	"nadph"	"NADTRHD"
"b0451"	"nh4"	"NH4t"
"s0001"	"nh4"	"NH4t"
"b0451"	"nh4(e)"	"NH4t"
"s0001"	"nh4(e)"	"NH4t"
"s0001"	"o2"	"O2t"
"s0001"	"o2(e)"	"O2t"
"b0114"	"accoa"	"PDH"
"b0115"	"accoa"	"PDH"
"b0116"	"accoa"	"PDH"
"b0114"	"co2"	"PDH"
"b0115"	"co2"	"PDH"
"b0116"	"co2"	"PDH"
"b0114"	"coa"	"PDH"
"b0115"	"coa"	"PDH"
"b0116"	"coa"	"PDH"
"b0114"	"nad"	"PDH"
"b0115"	"nad"	"PDH"
"b0116"	"nad"	"PDH"
"b0114"	"nadh"	"PDH"
"b0115"	"nadh"	"PDH"
"b0116"	"nadh"	"PDH"
"b0114"	"pyr"	"PDH"
"b0115"	"pyr"	"PDH"
"b0116"	"pyr"	"PDH"
"b1723"	"adp"	"PFK"
"b3916"	"adp"	"PFK"
"b1723"	"atp"	"PFK"
"b3916"	"atp"	"PFK"
"b1723"	"f6p"	"PFK"
"b3916"	"f6p"	"PFK"
"b1723"	"fdp"	"PFK"
"b3916"	"fdp"	"PFK"
"b1723"	"h"	"PFK"
"b3916"	"h"	"PFK"
"b0902"	"accoa"	"PFL"
"b0903"	"accoa"	"PFL"
"b2579"	"accoa"	"PFL"
"b3114"	"accoa"	"PFL"
