node1	node2
b3781	Oxidized thioredoxin
b1778	L-methionine-R-sulfoxide
b2582	L-methionine-R-sulfoxide
b3781	L-methionine-R-sulfoxide
b1778	L-Methionine
b2582	L-Methionine
b3781	L-Methionine
b1778	H2O
b2582	H2O
b3781	H2O
b1778	Reduced thioredoxin
b2582	Reduced thioredoxin
b3781	Reduced thioredoxin
b0349	H+
b0349	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
b0349	Succinate
b0349	2-Oxopent-4-enoate
b0349	H2O
b0494	octadecanoate (n-C18:0)
b0494	1-octadecanoyl-sn-glycerol 3-phosphate
b0494	H+
b0494	Glycerol 3-phosphate
b0494	H2O
Succinate exchange	Succinate
b3397	AMP
b3034	AMP
b3397	H2O
b3034	H2O
b3397	alpha-D-Ribose 5-phosphate
b3034	alpha-D-Ribose 5-phosphate
b3397	H+
b3034	H+
b3397	ADPribose
b3034	ADPribose
b1393	(3S)-3-Hydroxyadipyl-CoA
b1393	H2O
b1393	2,3-dehydroadipyl-CoA
b0052	Pyridoxine 5'-phosphate
b2564	Pyridoxine 5'-phosphate
b0052	Phosphate
b2564	Phosphate
b0052	Nicotinamide adenine dinucleotide - reduced
b2564	Nicotinamide adenine dinucleotide - reduced
