"node1","node2","Uni_N1","Uni_N2"
"eco:b0683","eco:b4046","P0A9A9","P0AC51"
"eco:b2140","eco:b4049","P33371","P32695"
"eco:b1313","eco:b4051","P76043","P28304"
"eco:b1449","eco:b4051","P76113","P28304"
"eco:b3381","eco:b4053","P45550","P0A6B4"
"eco:b1190","eco:b4053","P29012","P0A6B4"
"eco:b0928","eco:b4054","P00509","P04693"
"eco:b3376","eco:b4054","P45545","P04693"
"eco:b0579","eco:b4057","P0AAT2","P0AF50"
"eco:b1489","eco:b4061","P76129","P32701"
"eco:b1163","eco:b4061","P75990","P32701"
"eco:b0457","eco:b4061","P77473","P32701"
"eco:b2176","eco:b4061","P76446","P32701"
"eco:b2503","eco:b4061","P77172","P32701"
"eco:b0833","eco:b4061","P75800","P32701"
"eco:b1285","eco:b4061","P77334","P32701"
"eco:b3525","eco:b4061","P37646","P32701"
"eco:b3252","eco:b4061","P13518","P32701"
"eco:b0315","eco:b4061","P21514","P32701"
"eco:b1707","eco:b4061","P76204","P32701"
"eco:b3529","eco:b4061","P37649","P32701"
"eco:b1168","eco:b4061","P75995","P32701"
"eco:b2067","eco:b4061","P38097","P32701"
"eco:b2395","eco:b4061","P23842","P32701"
"eco:b1815","eco:b4061","P76261","P32701"
"eco:b3569","eco:b4062","P0ACI3","P0A9E2"
"eco:b3515","eco:b4062","P63201","P0A9E2"
"eco:b2382","eco:b4062","P77396","P0A9E2"
"eco:b3954","eco:b4062","P32677","P0A9E2"
"eco:b3516","eco:b4062","P37639","P0A9E2"
"eco:b0564","eco:b4062","P05052","P0A9E2"
"eco:b1735","eco:b4062","P17410","P0A9E2"
"eco:b0064","eco:b4062","P0A9E0","P0A9E2"
"eco:b1499","eco:b4062","P76135","P0A9E2"
"eco:b0546","eco:b4062","P77634","P0A9E2"
"eco:b2437","eco:b4062","P36547","P0A9E2"
"eco:b1531","eco:b4062","P0ACH5","P0A9E2"
"eco:b1384","eco:b4062","Q47129","P0A9E2"
"eco:b3905","eco:b4062","P09377","P0A9E2"
"eco:b0566","eco:b4062","P10805","P0A9E2"
"eco:b3906","eco:b4062","P09378","P0A9E2"
"eco:b2127","eco:b4063","P33358","P0ACS2"
"eco:b1162","eco:b4063","P75989","P0ACS2"
"eco:b2127","eco:b4063","V9PPD8","P0ACS2"
"eco:b0513","eco:b4064","P77328","P0AF52"
"eco:b2882","eco:b4064","P67444","P0AF52"
"eco:b2497","eco:b4064","P0AGM7","P0AF52"
"eco:b2888","eco:b4064","Q46821","P0AF52"
"eco:b3714","eco:b4064","P31466","P0AF52"
"eco:b3664","eco:b4064","P31440","P0AF52"
"eco:b1006","eco:b4064","P75892","P0AF52"
"eco:b3654","eco:b4064","P0AGM9","P0AF52"
"eco:b3679","eco:b4067","P31448","P32705"
"eco:b0037","eco:b4069","P31552","P27550"
"eco:b1701","eco:b4069","P38135","P27550"
"eco:b1805","eco:b4069","P69451","P27550"
"eco:b0324","eco:b4072","P77554","P0AAK7"
"eco:b0992","eco:b4072","P52636","P0AAK7"
"eco:b2996","eco:b4072","P0AAJ8","P0AAK7"
"eco:b2562","eco:b4072","P52102","P0AAK7"
"eco:b1671","eco:b4072","P77375","P0AAK7"
"eco:b2995","eco:b4073","P37180","P32709"
"eco:b2196","eco:b4074","P33927","P32710"
"eco:b2611","eco:b4074","P64432","P32710"
"eco:b0568","eco:b4076","P31600","P32712"
"eco:b1024","eco:b4076","P69434","P32712"
"eco:b3802","eco:b4076","P0ACB7","P32712"
"eco:b2852","eco:b4076","P76639","P32712"
"eco:b1214","eco:b4076","P0AGM5","P32712"
"eco:b3163","eco:b4076","P0AFB1","P32712"
"eco:b3596","eco:b4076","P32106","P32712"
"eco:b2194","eco:b4076","P0ABM9","P32712"
"eco:b2549","eco:b4076","P76585","P32712"
"eco:b2275","eco:b4076","P76486","P32712"
"eco:b3530","eco:b4076","P37650","P32712"
"eco:b1280","eco:b4076","P0AB58","P32712"
"eco:b1729","eco:b4077","P77529","P21345"
"eco:b3528","eco:b4077","P0A830","P21345"
"eco:b2275","eco:b4078","P76486","P0AF56"
"eco:b3596","eco:b4078","P32106","P0AF56"
"eco:b0644","eco:b4078","P77234","P0AF56"
"eco:b0647","eco:b4078","P77296","P0AF56"
"eco:b1214","eco:b4078","P0AGM5","P0AF56"
"eco:b0572","eco:b4080","P77211","P32714"
"eco:b3240","eco:b4081","P46481","P32715"
"eco:b1645","eco:b4081","P76186","P32715"
"eco:b3358","eco:b4081","P45537","P32715"
"eco:b2008","eco:b4081","P33011","P32715"
"eco:b0878","eco:b4082","P75830","P32716"
"eco:b2685","eco:b4082","P27303","P32716"
"eco:b3513","eco:b4082","P37636","P32716"
"eco:b0574","eco:b4082","P77239","P32716"
"eco:b3597","eco:b4082","P0AFV0","P32716"
"eco:b0463","eco:b4082","P0AE06","P32716"
"eco:b3265","eco:b4082","P24180","P32716"
"eco:b3586","eco:b4082","P37683","P32716"
"eco:b1644","eco:b4082","P76185","P32716"
"eco:b2368","eco:b4082","P52599","P32716"
"eco:b0927","eco:b4083","P75849","P32717"
"eco:b3834","eco:b4083","P0ADP7","P32717"
"eco:b3222","eco:b4084","P45425","P32718"
"eco:b1119","eco:b4084","P75959","P32718"
"eco:b1594","eco:b4084","P50456","P32718"
"eco:b0676","eco:b4084","P0AF20","P32718"
"eco:b0394","eco:b4084","P23917","P32718"
"eco:b2550","eco:b4084","P76586","P32718"
"eco:b3386","eco:b4085","P0AG07","P32719"
"eco:b1514","eco:b4086","P77672","P32720"
"eco:b3457","eco:b4086","P0AEX7","P32720"
"eco:b2148","eco:b4086","P23200","P32720"
"eco:b2546","eco:b4086","P77315","P32720"
"eco:b3750","eco:b4086","P0AGI1","P32720"
"eco:b3456","eco:b4086","P22729","P32720"
"eco:b1515","eco:b4086","P0AFS1","P32720"
"eco:b3568","eco:b4086","P0AGI4","P32720"
"eco:b1496","eco:b4087","P31826","P32721"
"eco:b3480","eco:b4087","P33594","P32721"
"eco:b0809","eco:b4087","P10346","P32721"
"eco:b0366","eco:b4087","Q47538","P32721"
"eco:b3479","eco:b4087","P33593","P32721"
"eco:b2677","eco:b4087","P14175","P32721"
"eco:b2201","eco:b4087","P33931","P32721"
"eco:b3486","eco:b4087","P37624","P32721"
"eco:b1900","eco:b4087","P0AAF3","P32721"
"eco:b3463","eco:b4087","P0A9R7","P32721"
"eco:b1756","eco:b4087","P76909","P32721"
"eco:b3567","eco:b4087","P37388","P32721"
"eco:b3352","eco:b4087","P63389","P32721"
"eco:b1709","eco:b4087","P06611","P32721"
"eco:b0449","eco:b4087","P0AAG5","P32721"
"eco:b3455","eco:b4087","P0A9S7","P32721"
"eco:b0652","eco:b4087","P0AAG3","P32721"
"eco:b3450","eco:b4087","P10907","P32721"
"eco:b2129","eco:b4087","P33360","P32721"
"eco:b3201","eco:b4087","P0A9V1","P32721"
"eco:b1484","eco:b4087","P77268","P32721"
"eco:b1513","eco:b4087","P77257","P32721"
"eco:b4035","eco:b4087","P68187","P32721"
"eco:b2211","eco:b4087","P33941","P32721"
"eco:b0886","eco:b4087","P23886","P32721"
"eco:b2180","eco:b4087","P33916","P32721"
"eco:b2422","eco:b4087","P16676","P32721"
"eco:b3541","eco:b4087","P0AAG0","P32721"
"eco:b3749","eco:b4087","P04983","P32721"
"eco:b1441","eco:b4087","P77795","P32721"
"eco:b0887","eco:b4087","P29018","P32721"
"eco:b0760","eco:b4087","P31060","P32721"
"eco:b0127","eco:b4087","P36879","P32721"
"eco:b0199","eco:b4087","P30750","P32721"
"eco:b2547","eco:b4087","P77509","P32721"
"eco:b3195","eco:b4087","P63386","P32721"
"eco:b0262","eco:b4087","P37009","P32721"
"eco:b1247","eco:b4087","P77737","P32721"
"eco:b0588","eco:b4087","P23878","P32721"
"eco:b0879","eco:b4087","P75831","P32721"
"eco:b2306","eco:b4087","P07109","P32721"
"eco:b0151","eco:b4087","P07821","P32721"
"eco:b0949","eco:b4087","P43672","P32721"
"eco:b1117","eco:b4087","P75957","P32721"
"eco:b1126","eco:b4087","P69874","P32721"
