"node1","node2","Uni_N1","Uni_N2"
"eco:b0231","eco:b0472","Q47155","P0A7H6"
"eco:b0104","eco:b0474","P60560","P69441"
"eco:b0369","eco:b0475","P0ACB2","P23871"
"eco:b0059","eco:b0484","P60240","Q59385"
"eco:b0199","eco:b0484","P30750","Q59385"
"eco:b0439","eco:b0484","P0A9M0","Q59385"
"eco:b0470","eco:b0484","P06710","Q59385"
"eco:b0507","eco:b0509","P0AEP7","P77161"
"eco:b0507","eco:b0514","P0AEP7","P77364"
"eco:b0509","eco:b0514","P77161","P77364"
"eco:b0512","eco:b0516","P77671","P77425"
"eco:b0516","eco:b0517","P77425","P77555"
"eco:b0512","eco:b0517","P77671","P77555"
"eco:b0096","eco:b0524","P0A725","P43341"
"eco:b0182","eco:b0524","P10441","P43341"
"eco:b0179","eco:b0524","P21645","P43341"
"eco:b0053","eco:b0525","P0ABZ6","P23869"
"eco:b0028","eco:b0525","P0AEM0","P23869"
"eco:b0436","eco:b0525","P0A850","P23869"
"eco:b0141","eco:b0530","P37050","P0ABW5"
"eco:b0138","eco:b0530","P37018","P0ABW5"
"eco:b0530","eco:b0533","P0ABW5","P75715"
"eco:b0138","eco:b0533","P37018","P75715"
"eco:b0141","eco:b0533","P37050","P75715"
"eco:b0530","eco:b0534","P0ABW5","P38052"
"eco:b0141","eco:b0534","P37050","P38052"
"eco:b0138","eco:b0534","P37018","P38052"
"eco:b0533","eco:b0534","P75715","P38052"
"eco:b0048","eco:b0543","P0ABQ4","P23895"
"eco:b0084","eco:b0543","P0AD68","P23895"
"eco:b0464","eco:b0543","P0ACS9","P23895"
"eco:b0462","eco:b0543","P31224","P23895"
"eco:b0029","eco:b0546","P62623","P77634"
"eco:b0135","eco:b0546","P31058","P77634"
"eco:b0225","eco:b0546","Q47149","P77634"
"eco:b0149","eco:b0546","P02919","P77634"
"eco:b0382","eco:b0564","P0AAN9","P05052"
"eco:b0161","eco:b0565","P0C0V0","P09169"
"eco:b0439","eco:b0565","P0A9M0","P09169"
"eco:b0400","eco:b0570","P08400","P77485"
"eco:b0570","eco:b0571","P77485","P0ACZ8"
"eco:b0484","eco:b0572","Q59385","P77211"
"eco:b0570","eco:b0572","P77485","P77211"
"eco:b0571","eco:b0572","P0ACZ8","P77211"
"eco:b0572","eco:b0573","P77211","P77214"
"eco:b0484","eco:b0573","Q59385","P77214"
"eco:b0573","eco:b0574","P77214","P77239"
"eco:b0571","eco:b0574","P0ACZ8","P77239"
"eco:b0572","eco:b0574","P77211","P77239"
"eco:b0484","eco:b0574","Q59385","P77239"
"eco:b0570","eco:b0574","P77485","P77239"
"eco:b0571","eco:b0575","P0ACZ8","P38054"
"eco:b0573","eco:b0575","P77214","P38054"
"eco:b0484","eco:b0575","Q59385","P38054"
"eco:b0570","eco:b0575","P77485","P38054"
"eco:b0572","eco:b0575","P77211","P38054"
"eco:b0574","eco:b0575","P77239","P38054"
"eco:b0311","eco:b0577","P17444","P0AAT4"
"eco:b0583","eco:b0586","P19925","P11454"
"eco:b0584","eco:b0587","P05825","P26266"
"eco:b0029","eco:b0591","P62623","P24077"
"eco:b0135","eco:b0591","P31058","P24077"
"eco:b0149","eco:b0591","P02919","P24077"
"eco:b0546","eco:b0591","P77634","P24077"
"eco:b0225","eco:b0591","Q47149","P24077"
"eco:b0586","eco:b0593","P11454","P0AEJ2"
"eco:b0583","eco:b0593","P19925","P0AEJ2"
"eco:b0586","eco:b0594","P11454","P10378"
"eco:b0583","eco:b0594","P19925","P10378"
"eco:b0593","eco:b0594","P0AEJ2","P10378"
"eco:b0583","eco:b0596","P19925","P15047"
"eco:b0593","eco:b0596","P0AEJ2","P15047"
"eco:b0586","eco:b0596","P11454","P15047"
"eco:b0594","eco:b0596","P10378","P15047"
"eco:b0593","eco:b0597","P0AEJ2","P0A8Y8"
