"node1","node2","Uni_N1","Uni_N2"
"eco:b0026","eco:b0893","P00956","P0A8L1"
"eco:b0526","eco:b0893","P21888","P0A8L1"
"eco:b0894","eco:b0895","P18775","P18776"
"eco:b0895","eco:b0896","P18776","P18777"
"eco:b0894","eco:b0896","P18775","P18777"
"eco:b0118","eco:b0903","P36683","P09373"
"eco:b0115","eco:b0903","P06959","P09373"
"eco:b0114","eco:b0903","P0AFG8","P09373"
"eco:b0720","eco:b0903","P0ABH7","P09373"
"eco:b0116","eco:b0903","P0A9P0","P09373"
"eco:b0420","eco:b0907","P77488","P23721"
"eco:b0052","eco:b0907","P19624","P23721"
"eco:b0754","eco:b0908","P0AB91","P0A6D3"
"eco:b0388","eco:b0908","P0A6E1","P0A6D3"
"eco:b0337","eco:b0910","P25524","P0A6I0"
"eco:b0182","eco:b0915","P10441","P27300"
"eco:b0181","eco:b0915","P0A722","P27300"
"eco:b0524","eco:b0915","P43341","P27300"
"eco:b0179","eco:b0915","P21645","P27300"
"eco:b0096","eco:b0915","P0A725","P27300"
"eco:b0078","eco:b0928","P00894","P00509"
"eco:b0077","eco:b0928","P00893","P00509"
"eco:b0004","eco:b0928","P00934","P00509"
"eco:b0003","eco:b0928","P00547","P00509"
"eco:b0002","eco:b0928","P00561","P00509"
"eco:b0642","eco:b0930","P07813","P0A8M0"
"eco:b0194","eco:b0930","P16659","P0A8M0"
"eco:b0026","eco:b0930","P00956","P0A8M0"
"eco:b0680","eco:b0930","P00962","P0A8M0"
"eco:b0526","eco:b0930","P21888","P0A8M0"
"eco:b0893","eco:b0930","P0A8L1","P0A8M0"
"eco:b0639","eco:b0931","P0A752","P18133"
"eco:b0935","eco:b0937","P80645","P80644"
"eco:b0032","eco:b0945","P0A6F1","P0A7E1"
"eco:b0033","eco:b0945","P00968","P0A7E1"
"eco:b0171","eco:b0945","P0A7E9","P0A7E1"
"eco:b0494","eco:b0954","P0ADA1","P0A6Q3"
"eco:b0180","eco:b0954","P0A6Q6","P0A6Q3"
"eco:b0722","eco:b0978","P0AC44","P26459"
"eco:b0734","eco:b0978","P0ABK2","P26459"
"eco:b0723","eco:b0978","P0AC41","P26459"
"eco:b0733","eco:b0978","P0ABJ9","P26459"
"eco:b0721","eco:b0978","P69054","P26459"
"eco:b0724","eco:b0978","P07014","P26459"
"eco:b0733","eco:b0979","P0ABJ9","P26458"
"eco:b0734","eco:b0979","P0ABK2","P26458"
"eco:b0978","eco:b0979","P26459","P26458"
"eco:b0722","eco:b0979","P0AC44","P26458"
"eco:b0721","eco:b0979","P69054","P26458"
"eco:b0724","eco:b0979","P07014","P26458"
"eco:b0723","eco:b0979","P0AC41","P26458"
"eco:b0993","eco:b0995","P39453","P38684"
"eco:b0996","eco:b0997","P33226","P33225"
"eco:b0124","eco:b1002","P15877","P19926"
"eco:b0822","eco:b1002","P75792","P19926"
"eco:b0688","eco:b1002","P36938","P19926"
"eco:b1008","eco:b1009","P75894","P75895"
"eco:b1008","eco:b1010","P75894","P0AFQ5"
"eco:b1009","eco:b1010","P75895","P0AFQ5"
"eco:b1010","eco:b1011","P0AFQ5","P75897"
