"N1","N2"
"P0A850","P45578"
"P0A850","Q46893"
"P0A850","P0A817"
"P75938","P0A817"
"P07363","P0A817"
"P0ABY2","P0A817"
"P52612","P0A817"
"P33135","P0A817"
"P0A850","P69741"
"P0ACD8","P69741"
"P0A9I5","P69741"
"P0AAN1","P69741"
"P0A850","P68679"
"P0A850","P45425"
"P0A850","P0A7X3"
"P0A850","P0AG44"
"P0A850","P02413"
"P21513","P02413"
"P0A850","P0AG59"
"P0A850","P0ADY7"
"P0A850","P61175"
"P0A850","P60438"
"P0A850","P02359"
"P0A707","P02359"
"P0A850","P18335"
"P36659","P18335"
"P29745","P18335"
"P0A850","P09053"
"P0A850","P05523"
"P0A850","P0AG82"
"P0A850","P0ADQ2"
"P0A850","P0A9S5"
"P0A850","P23003"
"P0A850","P32664"
"P0A850","P0A698"
"P0A6G7","P0A698"
"P0A850","P39280"
"P0AEM4","P39280"
"P52647","P39280"
"P07364","P39280"
"P0AEM6","P39280"
"P26608","P39280"
"P0ABY2","P39280"
"P52612","P39280"
"P06974","P39280"
"P15070","P39280"
"P0AGB6","P39280"
"P37665","P39280"
"P0A6G7","P0A6H1"
"P0A6G7","P0A8F8"
"P0A6G7","P0ABH9"
"P0ABT2","P0ABH9"
"P0A8Q6","P0ABH9"
"P31224","P0AAW9"
"P0AE06","P0AAW9"
"P31224","P37637"
"P06710","P23367"
"P28630","P23367"
"P28631","P23367"
"P09184","P23367"
"P0A7G6","P23367"
"P23909","P23367"
"P06722","P23367"
"P03018","P23367"
"P23872","P06720"
"P77504","P09424"
"P77239","P38054"
"P0ADI4","P0A8Y8"
"P77746","P11875"
"P0AE08","P0A799"
"P08390","P0A799"
"P0AE08","P37689"
"P62707","P37689"
"P77510","P0AEC8"
"P0AD01","P0AEC8"
"P21865","P69829"
"P0AFP6","Q46856"
"P0ABH7","P0AD61"
"P37765","P0AD61"
"P0ABJ9","P0ABK2"
"P0ABJ9","P26459"
"P0ABJ9","P0ADW3"
"P0A8Z3","P27247"
"P0A8Z3","P0A7A7"
"P62517","P0A7A7"
"P0A6A8","P0A7A7"
"P19934","P45955"
"P0A912","P61320"
"P61316","P61320"
"P0A912","P69776"
"P61316","P69776"
"P02929","P69776"
"P11458","P10902"
"P30748","P30749"
"P30748","P12282"
"P0A9F1","P37640"
"P12281","P32173"
"P09152","P32173"
"P32125","P32173"
"P0A8Q6","P0AAC0"
"P0A8Q6","P69910"
"P0A8Q6","P0A9H7"
"P0A8Q6","P77689"
"P0A8Q6","P77499"
"P0A8Q6","P76235"
"P0A8Q6","P76290"
"P0A8Q6","P0A8S1"
"P0A8Q6","P42588"
"P0A8Q6","P16926"
"P27434","P16926"
"P0A8Q6","P37685"
"P0A8Q6","P0ACB7"
"P25714","P0ACB7"
"P0A8Q6","P0A887"
"P0AA25","P0A887"
"P0A8Q6","P13029"
"P0AA25","P13029"
"P0A8Q6","P0AE22"
"P0A8Q6","P39286"
"P46889","P20083"
"P61316","P0ADC3"
"P22523","P0AFI2"
"P0A910","P39099"
"P39453","P38684"
"P33225","P36662"
"P75914","P75915"
"P0ABK7","P28307"
"P0AEM4","P69924"
"P75936","P0AC07"
"P33235","P52627"
"P31129","P52627"
"P21513","P75990"
"P21513","P75995"
"P21513","P31069"
"P21513","P33570"
"P21513","P0A9P6"
"P21513","P37641"
"P21513","P37313"
"P21513","P0A7N9"
"P21513","P0A7R1"
"P0A7R9","P0A7R1"
"P0ABB0","P0A7R1"
"P0A7L0","P0A7R1"
"P02358","P0A7R1"
"P0A6A8","P0AAI5"
"P0A6A8","P0AB89"
"P0A6A8","P0A953"
"P0A6A8","P0AG24"
"P23837","P23836"
"P08200","P11071"
"P18196","P09557"
"P76016","P23883"
"P0A717","P0A9J6"
"P0AF28","P0AFA2"
"P09152","P11350"
"P11349","P19319"
"P0AF26","P19319"
"P19317","P19319"
"P0AEV1","P39375"
"P02929","P0ABU7"
"P0ABV2","P0ABU7"
"P02929","P06129"
"P06612","P31068"
"P37344","P24255"
"P0AFM6","P0AEC3"
"P0AFM9","P0AEC3"
"P0AFN2","P0AEC3"
"P25553","P00805"
"P24183","P0AAJ3"
"P50456","P76346"
"P76194","P77444"
"P07395","P32715"
"P05041","P00903"
"P69797","P69801"
"P69797","P69805"
"P0A9Y6","P0ACF0"
"P03004","P0ACF0"
"P76299","P0A8T5"
"P0A9H9","P0A8T5"
"P0ABY2","P52613"
"P0ABZ1","P0ACG1"
"P0ABX8","P22586"
"P76339","P76340"
"P0A8A2","P0AD12"
"P00350","P22259"
"P76398","P76399"
"P76440","P25889"
"P25748","P03024"
"P25737","P23890"
"P31802","P27896"
"P0AA86","P36655"
"P0ABM1","P33931"
"P0ABL5","P33934"
"P0DMC7","P39404"
"P0AES4","P0A7Q6"
"P0AES4","P0AES6"
"P0AES4","P0A6U5"
"P00452","P37146"
"P39452","P37146"
"P0A996","P37647"
"P33599","P0AFC7"
"P77173","P30845"
"P0ABK5","P0A9D4"
"P0AA04","P11989"
"P08839","P11989"
"P08722","P11989"
"P77774","P0ACE0"
"P24192","P0ACE0"
"P0AAM7","P0ACE0"
"P77774","P0ABC3"
"P0AAI3","P0ABC3"
"P25714","P0ABC3"
"P0A763","P12295"
"P0A9R4","P0AAC8"
"P0A6B7","P27838"
"P0A9Z1","P30870"
"P0A9Z1","P0A6C8"
"P0AFX7","P0AEE3"
"P0AGJ5","P0A776"
"P63284","P0A705"
"P0AGD7","P10121"
"P0A700","P07658"
"P23845","P21156"
"P76632","Q46901"
"P0A6P9","P0A6F3"
"Q46925","P0AGF2"
"P04993","P07648"
"P0C0S1","P0ADK0"
"P52061","P0A7D4"
"P37330","P07118"
"P02930","P0A9Q1"
"P0AE88","P0A9Q1"
"P00579","P09377"
"P00579","P09378"
"P00579","P0AFX4"
"P0AAI3","P0ABC7"
"P25714","P0ABC7"
"P0ADV9","P0ADV1"
"P0A9V1","P0AF98"
"P0A9V1","P0ADC6"
"P03004","P0ACQ4"
"P03004","P0AEF0"
"P0ACB0","P0AEF0"
"P25714","P04968"
"P25714","P0ABI4"
"P25714","P12758"
"P0AA25","P12758"
"P25714","P36672"
"P0ABB0","P0ABA0"
"P0ABB0","P68699"
"P31473","P0A9H3"
"P02925","P39265"
"P0AA25","P21177"
"P0AA25","P00448"
"P0AA25","P0A858"
"P0AA25","P27306"
"P0AA25","P0AFG0"
"P0AG30","P0AFG0"
"P0AA25","P0A6N4"
"P0AA25","P0A9L3"
"P0AA25","P28903"
"P0AA25","P24203"
"P0AFB5","P0AC38"
"P0A6H5","P0A7B8"
"P17888","P0A8J2"
"P07013","P0A8J2"
"P14377","P14375"
"P15639","P0A8N5"
"P0AEX9","P68187"
"P30844","P30843"
"G1E6H3","P30843"
"P0A6F5","P39407"
"P0A7F3","P0A786"
"P23485","P23484"
"P31697","P08189"
"P31697","P08190"
"P31697","P08191"
"P30130","P08191"
"P08368","P08401"
