"N1","N2"
"Q47146","P38135"
"P77455","P38135"
"P0A9U8","P38135"
"P62707","P23538"
"P21829","P23538"
"P26616","P23538"
"P0AD61","P23538"
"P0A6E1","P00887"
"P0AB91","P00887"
"P0A6D3","P00887"
"P0A6D5","P00887"
"P05194","P00887"
"P00956","P07395"
"P16659","P07395"
"P21888","P07395"
"P07813","P07395"
"P00962","P07395"
"P0A8L1","P07395"
"P0A8M0","P07395"
"P0AGJ9","P07395"
"P00956","P08312"
"P16659","P08312"
"P21888","P08312"
"P07813","P08312"
"P00962","P08312"
"P0A8L1","P08312"
"P0A8M0","P08312"
"P0AGJ9","P08312"
"P07395","P08312"
"P00956","P0A8M3"
"P16659","P0A8M3"
"P21888","P0A8M3"
"P07813","P0A8M3"
"P00962","P0A8M3"
"P0A8L1","P0A8M3"
"P0A8M0","P0A8M3"
"P0AGJ9","P0A8M3"
"P07395","P0A8M3"
"P08312","P0A8M3"
"P62707","P06999"
"P21829","P06999"
"P0AD61","P06999"
"P23538","P06999"
"P0AGD1","P21179"
"P0AGD3","P21179"
"P30011","P18843"
"P0A752","P18843"
"P11458","P18843"
"P18133","P18843"
"P76215","P76216"
"P76215","P76217"
"P76216","P76217"
"P76215","P0AE37"
"P76216","P0AE37"
"P76217","P0AE37"
"P0AF03","P78067"
"P30745","P78067"
"P30748","P78067"
"P30749","P78067"
"P12282","P78067"
"P12281","P78067"
"P77444","P78067"
"P0A8L1","P16456"
"P37595","P0A962"
"P0A752","P21369"
"P18133","P21369"
"P18843","P21369"
"P62707","P0A9B2"
"P21829","P0A9B2"
"P26616","P0A9B2"
"P0AD61","P0A9B2"
"P23538","P0A9B2"
"P06999","P0A9B2"
"P30863","P76234"
"P21513","P09155"
"P30850","P09155"
"P30014","P09155"
"Q47146","P69451"
"P77455","P69451"
"P0A9U8","P69451"
"P38135","P69451"
"P28305","P05041"
"P69441","P33221"
"P09029","P33221"
"P0AG18","P33221"
"P61949","P33221"
"P09373","P33221"
"P0AB89","P33221"
"P0A870","P0AC53"
"P52697","P0AC53"
"P0AFG8","P21599"
"P06959","P21599"
"P0A9P0","P21599"
"P36683","P21599"
"P0ABH7","P21599"
"P62707","P21599"
"P21829","P21599"
"P09373","P21599"
"P08200","P21599"
"P0A9Q7","P21599"
"P52643","P21599"
"P39451","P21599"
"P05042","P21599"
"P0AC33","P21599"
"P0AD61","P21599"
"P23538","P21599"
"P06999","P21599"
"P0A9B2","P21599"
"P26281","P0AFC0"
"P00956","P21889"
"P16659","P21889"
"P21888","P21889"
"P07813","P21889"
"P00962","P21889"
"P0A8L1","P21889"
"P0A8M0","P21889"
"P0AGJ9","P21889"
"P07395","P21889"
"P08312","P21889"
"P0A8M3","P21889"
"P33226","P46923"
"P33225","P46923"
"P24183","P46923"
"P0AAJ3","P46923"
"P0AEK7","P46923"
"P33226","P52005"
"P33225","P52005"
"P24183","P52005"
"P0AAJ3","P52005"
"P0AEK7","P52005"
"P46923","P52005"
"P00956","P11875"
"P16659","P11875"
"P21888","P11875"
"P07813","P11875"
"P00962","P11875"
"P0A8L1","P11875"
"P0A8M0","P11875"
"P0AGJ9","P11875"
"P07395","P11875"
"P08312","P11875"
"P0A8M3","P11875"
"P21889","P11875"
"P0AE67","P07330"
"P0ABG1","P0ABF8"
"P18200","P0ABF8"
"P0AA84","P0ABF8"
"P0A6A8","P0ABF8"
"P0A6H8","P0ABF8"
"P0A924","P0ABF8"
"P52086","P36562"
"P0A9H5","P36562"
