node1 node2 experimental database textmining combined_score
b0023 b3301 945 0 0 945
b0023 b1089 945 0 0 945
b0023 b3637 945 0 0 945
b0023 b2185 945 0 0 945
b0023 b3298 945 720 0 984
b0023 b3230 945 720 0 984
b0023 b0051 800 0 88 809
b0023 b0693 457 0 0 457
b0023 b2609 945 720 0 984
b0023 b2784 691 0 0 691
b0023 b3339 935 0 0 935
b0023 b3065 945 720 0 984
b0023 b3341 945 720 0 984
b0023 b1718 482 0 0 482
b0023 b3167 800 0 0 800
b0023 b4550 935 0 0 935
b0023 b0884 453 0 0 453
b0023 b3556 800 0 0 800
b0023 b2171 281 0 0 281
b0023 b3316 945 720 0 984
b0023 b3294 945 0 0 945
b0023 b4200 945 720 0 984
b0023 b3185 945 0 0 945
b0023 b4203 945 0 0 945
b0023 b3983 935 0 0 935
b0023 b2891 935 0 0 935
b0023 b0172 886 0 0 885
b0023 b3980 800 0 0 800
b0023 b3309 945 0 0 945
b0023 b0296 905 0 0 905
b0023 b3297 979 720 0 993
b0023 b3186 945 0 0 945
b0023 b4161 819 0 0 818
b0023 b4147 951 0 0 951
b0023 b0191 800 0 0 800
b0023 b3313 945 0 0 945
b0023 b0911 800 720 0 941
b0023 b4391 465 0 0 465
b0023 b0436 800 0 0 800
b0023 b3169 800 0 0 800
b0023 b3314 945 720 0 984
b0025 b2383 204 0 0 204
b0025 b0844 0 900 0 900
b0025 b0980 0 900 0 900
b0025 b1198 455 0 0 455
b0025 b3947 204 0 0 204
b0025 b4055 0 900 0 900
b0025 b3812 0 900 0 900
b0025 b2943 0 0 205 205
b0025 b2819 542 0 0 542
b0026 b3847 139 0 108 199
b0026 b1454 142 97 78 223
b0026 b2400 466 118 284 633
b0026 b2697 184 0 0 183
b0026 b2569 0 0 436 435
b0026 b0838 142 97 78 223
b0026 b3751 508 0 0 508
b0026 b4253 508 0 0 508
b0026 b4129 294 82 761 831
b0026 b0424 457 0 0 457
b0026 b2114 459 200 668 843
b0026 b2908 139 0 108 199
b0026 b0194 625 249 624 884
b0026 b0642 347 249 847 918
b0026 b2301 142 97 78 223
b0026 b2989 142 97 78 223
b0026 b0893 0 0 520 520
b0026 b2780 0 0 451 451
b0026 b2411 508 0 0 508
b0026 b0674 164 0 0 163
b0026 b0144 466 118 138 558
b0026 b3229 142 97 78 223
b0026 b1635 142 97 78 223
b0026 b0975 508 0 0 508
b0026 b0930 460 82 283 613
b0026 b2890 282 82 761 828
b0026 b3592 142 97 78 223
b0026 b0780 508 0 0 508
b0026 b1876 458 249 709 871
b0026 b2699 0 0 370 370
b0026 b1713 194 0 317 425
b0026 b2385 139 0 108 199
b0026 b2302 142 97 78 223
b0026 b0526 0 0 553 553
b0026 b0680 466 118 532 760
b0028 b3314 460 0 0 459
b0028 b3982 0 0 190 190
b0028 b3961 0 0 234 234
b0028 b3295 0 0 244 243
b0028 b4239 0 0 217 217
